D,,,,,,,,,,
node_id,node_type,node_description,d_x,d_y,q,tA,tB,tS,tQ,cq
D0,d,d,40,50,0,0,1236,0,0,0
D1,d,d,40,50,0,0,1236,0,0,0
S3,s,s,57,82,10,0,1236,90,0,0
S7,s,s,21,83,10,0,1236,90,0,0
S13,s,s,22,34,10,0,1236,90,0,0
S15,s,s,39,26,10,0,1236,90,0,0
C61,m,m,50,30,10,980,1064,90,0,0
C30,m,m,20,55,10,0,1125,90,0,0
C98,m,m,58,75,10,0,1115,90,0,0
C59,m,m,38,15,10,66,124,90,0,0
C35,m,m,5,35,10,655,725,90,0,0
C13,m,m,22,75,10,1042,1106,90,0,0
C10,m,m,35,66,10,779,845,90,0,0
C44,m,m,32,30,10,0,1124,90,0,0
C50,m,m,26,32,10,0,1123,90,0,0
C95,m,m,62,80,10,0,1108,90,0,0
C18,m,m,15,75,10,0,1110,90,0,0
C33,m,m,8,40,10,355,437,90,0,0
C85,m,m,68,60,10,0,1116,90,0,0
C19,m,m,15,80,10,455,513,90,0,0
C40,m,m,35,30,10,143,199,90,0,0
,,,,,,,,,,
Parameters,,,,,,,,,,
parameter,description,value,,,,,,,,
t_T,optimization time horizon,1236,,,,,,,,
t_S,time step size,1,,,,,,,,
,,,,,,,,,,
W,,,,,,,,,,
vehicle_type_id,vehicle_type,NW,rW,v,cc,c_F,QMAX,,,
z1,C,4,1,1,0,0,200,,,
